Date,Original,Predicted
2019-03-22T00:00:00.000,60.275001525878906,61.813602447509766
2019-03-25T00:00:00.000,59.650001525878906,61.667232513427734
2019-03-26T00:00:00.000,59.23099899291992,61.07205581665039
2019-03-27T00:00:00.000,58.6510009765625,60.43354797363281
2019-03-28T00:00:00.000,58.42449951171876,59.82626724243164
2019-03-29T00:00:00.000,58.66550064086914,59.421939849853516
2019-04-01T00:00:00.000,59.72150039672851,59.380611419677734
2019-04-02T00:00:00.000,60.02450180053711,59.930179595947266
2019-04-03T00:00:00.000,60.29600143432617,60.53730392456055
2019-04-04T00:00:00.000,60.75,61.00605010986328
2019-04-05T00:00:00.000,60.35749816894532,61.40754318237305
2019-04-08T00:00:00.000,60.19200134277344,61.42088317871094
2019-04-09T00:00:00.000,59.86249923706055,61.234046936035156
2019-04-10T00:00:00.000,60.108001708984375,60.922183990478516
2019-04-11T00:00:00.000,60.23099899291992,60.81930160522461
2019-04-12T00:00:00.000,60.89350128173828,60.87815475463867
2019-04-15T00:00:00.000,61.05500030517578,61.25068283081055
2019-04-16T00:00:00.000,61.35649871826172,61.61925506591797
2019-04-17T00:00:00.000,61.81700134277344,61.95490264892578
2019-04-18T00:00:00.000,61.81850051879883,62.3244514465332
2019-04-22T00:00:00.000,62.44200134277344,62.5299072265625
2019-04-23T00:00:00.000,63.227500915527344,62.85987854003906
2019-04-24T00:00:00.000,62.79999923706055,63.40620803833008
2019-04-25T00:00:00.000,63.17250061035156,63.57771301269531
2019-04-26T00:00:00.000,63.60900115966797,63.73051071166992
2019-04-29T00:00:00.000,64.37899780273438,63.992496490478516
2019-04-30T00:00:00.000,59.42399978637695,64.49884796142578
2019-05-01T00:00:00.000,58.40399932861328,62.713680267333984
2019-05-02T00:00:00.000,58.13050079345703,60.692176818847656
2019-05-03T00:00:00.000,59.27000045776367,59.39569091796875
2019-05-06T00:00:00.000,59.46950149536133,59.39914321899414
2019-05-07T00:00:00.000,58.70500183105469,59.89083480834961
2019-05-08T00:00:00.000,58.313499450683594,60.006431579589844
2019-05-09T00:00:00.000,58.118999481201165,59.806610107421875
2019-05-10T00:00:00.000,58.21350097656251,59.50734329223633
2019-05-13T00:00:00.000,56.60150146484375,59.33149337768555
2019-05-14T00:00:00.000,56.02199935913086,58.56168746948242
2019-05-15T00:00:00.000,58.21049880981446,57.718650817871094
2019-05-16T00:00:00.000,58.94900131225586,58.157955169677734
2019-05-17T00:00:00.000,58.115001678466804,59.068504333496094
2019-05-20T00:00:00.000,56.94250106811523,59.351131439208984
2019-05-21T00:00:00.000,57.48149871826172,58.82514190673828
2019-05-22T00:00:00.000,57.57099914550781,58.51883316040039
2019-05-23T00:00:00.000,57.03850173950195,58.42655563354492
2019-05-24T00:00:00.000,56.673500061035156,58.205387115478516
2019-05-28T00:00:00.000,56.70750045776367,57.89751434326172
2019-05-29T00:00:00.000,55.823001861572266,57.72157669067383
2019-05-30T00:00:00.000,55.897499084472656,57.287254333496094
2019-05-31T00:00:00.000,55.18149948120117,57.01380157470703
2019-06-03T00:00:00.000,51.8115005493164,56.60426712036133
2019-06-04T00:00:00.000,52.6525001525879,54.9155158996582
2019-06-05T00:00:00.000,52.11100006103516,53.98952102661133
2019-06-06T00:00:00.000,52.21699905395508,53.458038330078125
2019-06-07T00:00:00.000,53.301998138427734,53.3383903503418
2019-06-10T00:00:00.000,54.01900100708008,53.860904693603516
2019-06-11T00:00:00.000,53.93600082397461,54.63521194458008
2019-06-12T00:00:00.000,53.85150146484375,55.087547302246094
2019-06-13T00:00:00.000,54.438499450683594,55.18696594238281
2019-06-14T00:00:00.000,54.26750183105469,55.359249114990234
2019-06-17T00:00:00.000,54.625,55.37297058105469
2019-06-18T00:00:00.000,55.18000030517578,55.472389221191406
2019-06-19T00:00:00.000,55.11650085449219,55.77781677246094
2019-06-20T00:00:00.000,55.57099914550781,55.97489547729492
2019-06-21T00:00:00.000,56.09400177001953,56.24859619140625
2019-06-24T00:00:00.000,55.7760009765625,56.64270782470703
2019-06-25T00:00:00.000,54.317501068115234,56.75849533081055
2019-06-26T00:00:00.000,53.9900016784668,56.12631607055664
2019-06-27T00:00:00.000,53.800498962402344,55.431396484375
2019-06-28T00:00:00.000,54.045501708984375,54.95106506347656
2019-07-01T00:00:00.000,54.897499084472656,54.86366653442383
2019-07-02T00:00:00.000,55.5625,55.306495666503906
2019-07-03T00:00:00.000,56.07899856567383,55.997764587402344
2019-07-05T00:00:00.000,56.579498291015625,56.67481231689453
2019-07-08T00:00:00.000,55.817501068115234,57.250038146972656
2019-07-09T00:00:00.000,56.24150085449219,57.1968994140625
2019-07-10T00:00:00.000,57.02399826049805,57.15620422363281
2019-07-11T00:00:00.000,57.21049880981445,57.45390319824219
2019-07-12T00:00:00.000,57.24499893188477,57.788455963134766
2019-07-15T00:00:00.000,57.516998291015625,58.00370407104492
2019-07-16T00:00:00.000,57.679000854492195,58.20927429199219
2019-07-17T00:00:00.000,57.317501068115234,58.39034652709961
2019-07-18T00:00:00.000,57.31650161743164,58.33157730102539
2019-07-19T00:00:00.000,56.505001068115234,58.23657989501953
2019-07-22T00:00:00.000,56.903499603271484,57.83183670043945
2019-07-23T00:00:00.000,57.31050109863281,57.70161437988281
2019-07-24T00:00:00.000,56.890499114990234,57.88715362548828
2019-07-25T00:00:00.000,56.60599899291993,57.91028594970703
2019-07-26T00:00:00.000,62.52050018310547,57.767303466796875
2019-07-29T00:00:00.000,61.97050094604492,60.174827575683594
2019-07-30T00:00:00.000,61.25699996948242,61.95942306518555
